"id","hiveId","dataType1","location","calibration"
"2827A25704E13CF1",28,"TEMPERATURE","gap2",0.1
"284E145704E13C77",28,"TEMPERATURE","gap3",0.02
"281C479497130366",28,"TEMPERATURE","gap4",-1.79
"288A099497020306",28,"TEMPERATURE","gap8",-1.91
"28AB1594970203DA",28,"TEMPERATURE","gap5",1.73
"2868659497130359",28,"TEMPERATURE","gap6",-1.91
"28711594970203D1",28,"TEMPERATURE","gap7",1.79
"28FA8643D4E13CB7",28,"TEMPERATURE","gap9",-0.66
"28981994970403E5",28,"AMBIENT_TEMPERATURE","device",0
"A0:B7:65:FE:85:68-BatteryVoltage",28,"BATTERY_VOLTAGE","device",0.112
"28145D9497130306",28,"TEMPERATURE","gap1",-1.48
"A0:B7:65:FE:85:68-Hiveweight",28,"WEIGHT","device",0
